,States,Latitude,Longitude
0,Andaman and Nicobar Islands,11.66702557,92.73598262
1,Andhra Pradesh,15.9129,79.74
2,Arunachal Pradesh,27.10039878,93.61660071
3,Assam,26.7499809,94.21666744
4,Bihar,25.78541445,87.4799727
5,Chandigarh,30.71999697,76.78000565
6,Chhattisgarh,22.09042035,82.15998734
7,Dadar and Nagar Haveli,20.26657819,73.01661779999999
8,Daman and Diu,20.4283,72.8397
9,Delhi,28.6699929,77.23000403
10,Goa,15.491997,73.81800065
11,Gujarat,22.25,71.19
12,Haryana,28.45000633,77.01999101
13,Himachal Pradesh,31.10002545,77.16659704
14,Jammu and Kashmir,34.29995933,74.46665849
15,Jharkhand,23.80039349,86.41998572
16,Karnataka,12.57038129,76.91999711
17,Kerala,8.900372741,76.56999263
18,Lakshadweep,10.56257331,72.63686717
19,Madhya Pradesh,21.30039105,76.13001949
20,Maharashtra,19.25023195,73.16017493
21,Manipur,24.79997072,93.95001705
22,Meghalaya,25.57049217,91.8800142
23,Mizoram,23.71039899,92.72001461
24,Nagaland,25.6669979,94.11657019
25,Odisha,19.82042971,85.90001746
26,Puducherry,11.93499371,79.83000037
27,Punjab,31.51997398,75.98000281
28,Rajasthan,26.44999921,74.63998124
29,Sikkim,27.3333303,88.6166475
30,Tamil Nadu,12.92038576,79.15004187
31,Telangana,18.1124,79.0193
32,Tripura,23.83540428,91.27999914
33,Uttar Pradesh,27.59998069,78.05000565
34,Uttarkhand,30.32040895,78.05000565
35,West Bengal,22.58039044,88.32994665
